user,product,rating
1,C04,3.388520512
1,D03,0.743552172
1,E05,4.42102615
1,B05,2.063962767
2,D05,0.908735162
4,A03,3.582353981
4,E03,2.337557642
5,D01,2.685193324
5,B04,3.920668539
5,A01,0.650323346
5,B02,3.757915266
5,B03,0.847049514
6,B05,4.283493407
6,A04,1.971745734
6,D02,1.70570392
6,D04,3.673622568
7,D04,3.731878391
7,C04,2.621463567
7,E02,2.306903701
8,E02,4.784184557
8,D04,2.791083083
10,D01,4.437645627
11,C01,3.839385882
11,A01,4.246354062
11,B01,1.441593347
11,B02,1.165209145
11,D04,0.176211139
11,E05,0.72515271
12,E03,4.834618728
13,A05,1.895700293
13,B01,2.070034912
14,B04,1.840538657
14,A03,2.970189693
15,E03,3.462119549
15,C03,2.853902619
15,C05,1.165416372
16,D01,4.029320474
16,B05,1.0436767
16,D03,1.731626437
16,D02,4.519276208
16,E04,3.815221436
16,D04,1.195295283
17,C03,0.536989201
17,A05,2.47189799
17,A04,2.84017396
17,E03,0.770180567
19,C02,4.85437779
20,B03,0.965381126
20,D04,3.589885683
20,C02,1.536423062
20,E01,3.850469692
20,D02,1.348344315
20,E02,3.595288671
21,A02,2.809462376
21,D05,2.688412773
22,D02,0.137147069
22,C01,1.887178378
22,E03,3.439241996
22,D05,4.737632379
23,B02,4.119776363
23,C02,3.780166112
23,A04,1.927588172
24,D02,1.948074117
25,A02,2.103936598
25,D04,0.252024089
25,E04,3.778158252
25,C04,1.737506536
27,D04,3.497916177
27,D05,3.01261589
28,C04,1.764652593
29,B02,0.964828561
30,C05,3.736612999
30,B05,0.106054574
31,C02,4.403952405
31,B04,3.133034313
32,A01,4.739490761
32,A05,0.647519314
33,E04,1.733470043
34,D03,0.562091575
34,A01,2.906844552
36,B01,4.34894326
36,B05,2.416388307
36,A03,1.050770594
36,A02,3.928917064
36,E05,3.493625768
36,A05,3.757364521
36,D04,3.265507865
37,D04,2.276704615
38,C02,4.660935107
38,A02,4.589400442
39,E03,4.162078835
39,C05,3.918684169
39,D02,0.866819841
39,C04,3.8547909
39,D04,1.148211805
39,B04,3.983781837
40,E04,1.257219072
40,B03,0.314958235
40,C01,1.635880744
40,C02,0.153954041
41,D02,4.969671523
41,A01,1.539460537
41,D04,1.249476778
41,C01,1.748168727
42,C01,0.074065665
42,A04,3.255586512
43,E03,1.271469275
43,C01,4.907186097
43,A05,2.0296893
43,D04,4.230748033
43,B04,2.381955647
43,D01,0.697774202
44,C03,2.010377583
44,B01,2.341444316
45,D02,2.186071289
45,A02,1.758651858
45,B05,2.170712364
45,D04,4.085731217
46,A05,4.162889256
46,E04,1.691773633
46,D01,2.401088444
46,C02,4.26555249
46,C03,3.146550029
46,B01,4.666171898
47,D04,2.366146877
47,C02,4.853488035
49,A01,3.125976126
49,B05,0.866873723
49,E03,1.764310112
50,C02,1.15035839
50,D04,4.296745431
50,C05,1.137503983
